,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
0,心痛 ， 这 叫 两边 的 老人 怎么 过 又 。,7,7_父子_船_留下来_来世,"['父子', '船', '留下来', '来世', '庝', '家庭', '富贵在天', '罪魁祸首', '出行', '果', '全家福', '太小', '本来', '年轻', '四位', '晚上', '活下去', '心', '分开', '一家子', '不由', '半点', '夫妻', '揪心', '活呀', '生活', '发出', '咋活', '世上', '老人家']","['本来 是 开开心心 的 一家人 在 一起 出行 的 ， 哪里 会 知道 开向 了 不归路 呢 ？ 真的 不 知道 灾难 什么 时候 会 降临 ， 世事 无常 啊 ！', '为什么 古人 说 夫妻 不同 车 、 父子 不同 船 呢 ！ ！ ！', '要 我 说 世上 根本 就 没有 全家福 照 ， 年轻 的 来世 ， 老 的 离世 ， 哪里 会 有 什么 全家福 平安 果']",父子 - 船 - 留下来 - 来世 - 庝 - 家庭 - 富贵在天 - 罪魁祸首 - 出行 - 果 - 全家福 - 太小 - 本来 - 年轻 - 四位 - 晚上 - 活下去 - 心 - 分开 - 一家子 - 不由 - 半点 - 夫妻 - 揪心 - 活呀 - 生活 - 发出 - 咋活 - 世上 - 老人家,0.8016514541375941,False
1,两家 父母 该 多 痛苦 。 流泪,88,88_感觉_洪水_无处不在_危险,"['感觉', '洪水', '无处不在', '危险', '冤枉', '事情', '无情', '痛苦', '命', '悲哀', '真', '两家', '难受', '灾难', '父母', '活', '老人', '一家人', '可惜', '可怜', '心疼', '太', '流泪', '', '', '', '', '', '', '']","['凄惨 ！ 洪水 无情', '悲哀 ！ 难受 的 感觉', '好 可怜 啊 流泪 ！ 危险 无处不在 流泪']",感觉 - 洪水 - 无处不在 - 危险 - 冤枉 - 事情 - 无情 - 痛苦 - 命 - 悲哀 - 真 - 两家 - 难受 - 灾难 - 父母 - 活 - 老人 - 一家人 - 可惜 - 可怜 - 心疼 - 太 - 流泪 -  -  -  -  -  -  - ,1.0,False
2,如果 是 战争 时期 无可奈何 ？ 安宁 和谐 的 当前 确实 不 应该 有 此 事故 发生 ； 这是 灭门 … 痛心疾首 …,24,24_责任_外婆_令人_多难,"['责任', '外婆', '令人', '多难', '痛心疾首', '爷爷奶奶', '事故', '但愿', '这是', '悲伤', '接受', '天灾', '人间', '发生', '无情', '陌生人', '活着', '家人', '生', '孩子', '香', '意外', '死', '父母', '痛心', '四口', '三柱', '捂脸', '心疼', '一家']","['谁 的 责任', '如果 是 战争 时期 无可奈何 ？ 安宁 和谐 的 当前 确实 不 应该 有 此 事故 发生 ； 这是 灭门 … 痛心疾首 …', '三柱 香 感谢 感谢 感谢 孩子 爷爷奶奶 外公 外婆 多难 接受']",责任 - 外婆 - 令人 - 多难 - 痛心疾首 - 爷爷奶奶 - 事故 - 但愿 - 这是 - 悲伤 - 接受 - 天灾 - 人间 - 发生 - 无情 - 陌生人 - 活着 - 家人 - 生 - 孩子 - 香 - 意外 - 死 - 父母 - 痛心 - 四口 - 三柱 - 捂脸 - 心疼 - 一家,0.8307262945679675,True
3,真 心痛 ， 一家子 就 这样 没 了 ， 唉 ！,-1,-1_果_凋谢_投奔_希望,"['果', '凋谢', '投奔', '希望', '爸爸', '人会', '哥哥', '照顾', '顺才', '神', '香三枉', '相亲相爱', '生命', '只能', '比心', '口', '心', '爷爷', '平安', '表达', '一生', '受得了', '造孽', '一家子', '原', '世界', '少', '顺风', '顺水', '看不得']","['感谢 感谢 感谢 感谢 感谢 感谢 感谢 感谢 如果 有 好心人 ， 知道 哪里 路段 坏掉 ， 他 这么 的 好心 在 公路 中间 跪下 求 你们 ， 大家 车 停下来 ， 你 就要 马上 停下 ， 不要 这 样子 ， 开车 好像 出风头 的 一样 ， 不听话 你 就 后悔药 买不到 ， 人家 好人 一生 平安 ， 这 样子 看到 会 心酸 吗 ？ 真的 太 可怜 了 ， 以后 全 天下 的 司机 ， 如果 碰到 有 什么 事情 ， 有 好心人 站 出来 能 吃 ， 你 一定 要 减速 下来 停下来 ， 这个 不是 为 你们 大家 好 吗 ？ 平安 果 平安 果 平安 果 平安 果 平安 果 平安 果 平安 果 平安 果', '你们 只是 去 了 另外 一个 世界 ， 到 那边 还有 我 的 爷爷 爸爸 ， 哥哥 ， 他们 先到 的 你们 一家 去 投奔 他们 ， 他们 是 善良 的 人会 照顾 你们 一家 四口 的 。 流泪 流泪 流泪', '你们 只是 去 了 另外 一个 世界 ， 到 那边 还有 我 的 爷爷 爸爸 ， 哥哥 ， 他们 先到 的 你们 一家 去 投奔 他们 ， 他们 是 善良 的 人会 照顾 你们 一家 四口 的 。 流泪 流泪 流泪']",果 - 凋谢 - 投奔 - 希望 - 爸爸 - 人会 - 哥哥 - 照顾 - 顺才 - 神 - 香三枉 - 相亲相爱 - 生命 - 只能 - 比心 - 口 - 心 - 爷爷 - 平安 - 表达 - 一生 - 受得了 - 造孽 - 一家子 - 原 - 世界 - 少 - 顺风 - 顺水 - 看不得,0.0,False
4,让 他 她们 爹妈 怎么 活 啊 流泪,12,12_出去玩_泪水_好人_流,"['出去玩', '泪水', '好人', '流', '多难', '呼吸', '天呀', '伤感', '不了', '人生', '疼', '心好', '无情', '接受', '一个', '天', '家里', '说', '父母', '活', '天堂', '可怜', '心疼', '一家人', '痛心', '太', '走', '可惜', '流泪', '感谢']","['都 说 不要 一家人 一起 出去玩 ？ 但是 又 舍得 把 谁 挪 在 家里 啊 流泪', '是 怎么 走 的 呀 看 了 泪水 都 流 出来', '哎 ！ 好人 多难 流泪']",出去玩 - 泪水 - 好人 - 流 - 多难 - 呼吸 - 天呀 - 伤感 - 不了 - 人生 - 疼 - 心好 - 无情 - 接受 - 一个 - 天 - 家里 - 说 - 父母 - 活 - 天堂 - 可怜 - 心疼 - 一家人 - 痛心 - 太 - 走 - 可惜 - 流泪 - 感谢,0.8657841488174484,False
5,你们 双方 的 父母 得 有 多 伤心 ， 多 难过 呀 ！,7,7_父子_船_留下来_来世,"['父子', '船', '留下来', '来世', '庝', '家庭', '富贵在天', '罪魁祸首', '出行', '果', '全家福', '太小', '本来', '年轻', '四位', '晚上', '活下去', '心', '分开', '一家子', '不由', '半点', '夫妻', '揪心', '活呀', '生活', '发出', '咋活', '世上', '老人家']","['本来 是 开开心心 的 一家人 在 一起 出行 的 ， 哪里 会 知道 开向 了 不归路 呢 ？ 真的 不 知道 灾难 什么 时候 会 降临 ， 世事 无常 啊 ！', '为什么 古人 说 夫妻 不同 车 、 父子 不同 船 呢 ！ ！ ！', '要 我 说 世上 根本 就 没有 全家福 照 ， 年轻 的 来世 ， 老 的 离世 ， 哪里 会 有 什么 全家福 平安 果']",父子 - 船 - 留下来 - 来世 - 庝 - 家庭 - 富贵在天 - 罪魁祸首 - 出行 - 果 - 全家福 - 太小 - 本来 - 年轻 - 四位 - 晚上 - 活下去 - 心 - 分开 - 一家子 - 不由 - 半点 - 夫妻 - 揪心 - 活呀 - 生活 - 发出 - 咋活 - 世上 - 老人家,1.0,False
6,心痛 ， 俩家 老人 怎么 活 啊 流泪,-1,-1_果_凋谢_投奔_希望,"['果', '凋谢', '投奔', '希望', '爸爸', '人会', '哥哥', '照顾', '顺才', '神', '香三枉', '相亲相爱', '生命', '只能', '比心', '口', '心', '爷爷', '平安', '表达', '一生', '受得了', '造孽', '一家子', '原', '世界', '少', '顺风', '顺水', '看不得']","['感谢 感谢 感谢 感谢 感谢 感谢 感谢 感谢 如果 有 好心人 ， 知道 哪里 路段 坏掉 ， 他 这么 的 好心 在 公路 中间 跪下 求 你们 ， 大家 车 停下来 ， 你 就要 马上 停下 ， 不要 这 样子 ， 开车 好像 出风头 的 一样 ， 不听话 你 就 后悔药 买不到 ， 人家 好人 一生 平安 ， 这 样子 看到 会 心酸 吗 ？ 真的 太 可怜 了 ， 以后 全 天下 的 司机 ， 如果 碰到 有 什么 事情 ， 有 好心人 站 出来 能 吃 ， 你 一定 要 减速 下来 停下来 ， 这个 不是 为 你们 大家 好 吗 ？ 平安 果 平安 果 平安 果 平安 果 平安 果 平安 果 平安 果 平安 果', '你们 只是 去 了 另外 一个 世界 ， 到 那边 还有 我 的 爷爷 爸爸 ， 哥哥 ， 他们 先到 的 你们 一家 去 投奔 他们 ， 他们 是 善良 的 人会 照顾 你们 一家 四口 的 。 流泪 流泪 流泪', '你们 只是 去 了 另外 一个 世界 ， 到 那边 还有 我 的 爷爷 爸爸 ， 哥哥 ， 他们 先到 的 你们 一家 去 投奔 他们 ， 他们 是 善良 的 人会 照顾 你们 一家 四口 的 。 流泪 流泪 流泪']",果 - 凋谢 - 投奔 - 希望 - 爸爸 - 人会 - 哥哥 - 照顾 - 顺才 - 神 - 香三枉 - 相亲相爱 - 生命 - 只能 - 比心 - 口 - 心 - 爷爷 - 平安 - 表达 - 一生 - 受得了 - 造孽 - 一家子 - 原 - 世界 - 少 - 顺风 - 顺水 - 看不得,0.0,False
7,看 的 好 难过 ！ 多好 的 一家人 ！ 他们 的 亲人 该 多么 的 伤心 ！ 好 残忍 啊 流泪 流泪 流泪,-1,-1_果_凋谢_投奔_希望,"['果', '凋谢', '投奔', '希望', '爸爸', '人会', '哥哥', '照顾', '顺才', '神', '香三枉', '相亲相爱', '生命', '只能', '比心', '口', '心', '爷爷', '平安', '表达', '一生', '受得了', '造孽', '一家子', '原', '世界', '少', '顺风', '顺水', '看不得']","['感谢 感谢 感谢 感谢 感谢 感谢 感谢 感谢 如果 有 好心人 ， 知道 哪里 路段 坏掉 ， 他 这么 的 好心 在 公路 中间 跪下 求 你们 ， 大家 车 停下来 ， 你 就要 马上 停下 ， 不要 这 样子 ， 开车 好像 出风头 的 一样 ， 不听话 你 就 后悔药 买不到 ， 人家 好人 一生 平安 ， 这 样子 看到 会 心酸 吗 ？ 真的 太 可怜 了 ， 以后 全 天下 的 司机 ， 如果 碰到 有 什么 事情 ， 有 好心人 站 出来 能 吃 ， 你 一定 要 减速 下来 停下来 ， 这个 不是 为 你们 大家 好 吗 ？ 平安 果 平安 果 平安 果 平安 果 平安 果 平安 果 平安 果 平安 果', '你们 只是 去 了 另外 一个 世界 ， 到 那边 还有 我 的 爷爷 爸爸 ， 哥哥 ， 他们 先到 的 你们 一家 去 投奔 他们 ， 他们 是 善良 的 人会 照顾 你们 一家 四口 的 。 流泪 流泪 流泪', '你们 只是 去 了 另外 一个 世界 ， 到 那边 还有 我 的 爷爷 爸爸 ， 哥哥 ， 他们 先到 的 你们 一家 去 投奔 他们 ， 他们 是 善良 的 人会 照顾 你们 一家 四口 的 。 流泪 流泪 流泪']",果 - 凋谢 - 投奔 - 希望 - 爸爸 - 人会 - 哥哥 - 照顾 - 顺才 - 神 - 香三枉 - 相亲相爱 - 生命 - 只能 - 比心 - 口 - 心 - 爷爷 - 平安 - 表达 - 一生 - 受得了 - 造孽 - 一家子 - 原 - 世界 - 少 - 顺风 - 顺水 - 看不得,0.0,False
8,唉 ， 痛心 ， 家里 的 老人 该 怎么 活,4,4_到底_度过_月_咋整,"['到底', '度过', '月', '咋整', '酸酸的', '模糊', '一劫', '面对', '真可怜', '逃不过', '完', '皆', '受得了', '方式', '听', '留', '泪流满面', '父母亲', '阿弥陀佛', '离开', '伤痛', '开心', '评论', '为啥', '这是', '停车', '受不了', '事', '半点', '不由']","['哎呀 ， 这种 事情 发出 来 心痛 ， 阿弥陀佛 ， 让 他们 在 天堂 一家 过得 开心', '一家人 在 一起 ， 却 没有 想到 会 用 这样 的 方式 在 一起 ， 愿 你们 的 家人 能 节哀 ！ 不 希望 再有 这样 的 事情 发生 了', '这 可 咋整 呀 老天爷 爷 四个 老人 怎么 面对 呀']",到底 - 度过 - 月 - 咋整 - 酸酸的 - 模糊 - 一劫 - 面对 - 真可怜 - 逃不过 - 完 - 皆 - 受得了 - 方式 - 听 - 留 - 泪流满面 - 父母亲 - 阿弥陀佛 - 离开 - 伤痛 - 开心 - 评论 - 为啥 - 这是 - 停车 - 受不了 - 事 - 半点 - 不由,1.0,False
9,我 都 不敢 看 这条 评论 ， 我 心里 就 难受,4,4_到底_度过_月_咋整,"['到底', '度过', '月', '咋整', '酸酸的', '模糊', '一劫', '面对', '真可怜', '逃不过', '完', '皆', '受得了', '方式', '听', '留', '泪流满面', '父母亲', '阿弥陀佛', '离开', '伤痛', '开心', '评论', '为啥', '这是', '停车', '受不了', '事', '半点', '不由']","['哎呀 ， 这种 事情 发出 来 心痛 ， 阿弥陀佛 ， 让 他们 在 天堂 一家 过得 开心', '一家人 在 一起 ， 却 没有 想到 会 用 这样 的 方式 在 一起 ， 愿 你们 的 家人 能 节哀 ！ 不 希望 再有 这样 的 事情 发生 了', '这 可 咋整 呀 老天爷 爷 四个 老人 怎么 面对 呀']",到底 - 度过 - 月 - 咋整 - 酸酸的 - 模糊 - 一劫 - 面对 - 真可怜 - 逃不过 - 完 - 皆 - 受得了 - 方式 - 听 - 留 - 泪流满面 - 父母亲 - 阿弥陀佛 - 离开 - 伤痛 - 开心 - 评论 - 为啥 - 这是 - 停车 - 受不了 - 事 - 半点 - 不由,1.0,False
